week,date,water,process,spike,target,count,percent_VLP,percent_large,count/100mL
4,5/31/2023,INF,samp,Neg1,VLP Events,23527,0.62,0.38,10770137778
4,5/31/2023,SEC,samp,Neg1,VLP Events,38816,0.9,0.1,17769102222
4,5/31/2023,EFF,samp,Neg1,VLP Events,107989,0.97,0.03,49434964444
4,5/31/2023,INF,samp,Neg2,VLP Events,11917,0.48,0.52,5455337778
4,5/31/2023,SEC,samp,Neg2,VLP Events,21108,0.87,0.13,9662773333
4,5/31/2023,EFF,samp,Neg2,VLP Events,79460,0.96,0.04,36375022222
4,5/31/2023,INF,samp,Neg3,VLP Events,N/A,N/A,N/A,N/A
4,5/31/2023,SEC,samp,Neg3,VLP Events,9918,0.76,0.24,4540240000
4,5/31/2023,EFF,samp,Neg3,VLP Events,34476,0.93,0.07,15782346667
4,5/31/2023,SEC,samp,Neg4,VLP Events,2147,0.43,0.57,982848888.9
4,5/31/2023,EFF,samp,Neg4,VLP Events,3298,0.58,0.42,1509751111
4,5/31/2023,INF,samp,Neg4,VLP Events,3595,0.23,0.77,1645711111
4,5/31/2023,PBS,samp,Neg1,VLP Events,254,0.07,0.93,116275555.6
4,5/31/2023,PBS,samp,Neg2,VLP Events,66,0.03,0.97,30213333.33
4,5/31/2023,PBS,samp,Neg3,VLP Events,86,0.04,0.96,39368888.89
4,5/31/2023,PBS,samp,Neg4,VLP Events,35,0.02,0.98,16022222.22
5,6/7/2023,INF,samp,Neg1,VLP Events,44390,0.68,0.32,20320755556
5,6/7/2023,SEC,samp,Neg1,VLP Events,46181,0.9,0.1,21140635556
5,6/7/2023,EFF,samp,Neg1,VLP Events,99801,0.96,0.04,45686680000
5,6/7/2023,INF,samp,Neg2,VLP Events,42367,0.7,0.3,19394671111
5,6/7/2023,SEC,samp,Neg2,VLP Events,51292,0.93,0.07,23480337778
5,6/7/2023,EFF,samp,Neg2,VLP Events,101344,0.96,0.04,46393031111
5,6/7/2023,SEC,samp,Neg3,VLP Events,20215,0.86,0.14,9253977778
5,6/7/2023,INF,samp,Neg3,VLP Events,30068,0.64,0.36,13764462222
5,6/7/2023,EFF,samp,Neg3,VLP Events,79621,0.96,0.04,36448724444
5,6/7/2023,SEC,samp,Neg4,VLP Events,3569,0.55,0.45,1633808889
5,6/7/2023,EFF,samp,Neg4,VLP Events,6456,0.73,0.27,2955413333
5,6/7/2023,INF,samp,Neg4,VLP Events,11172,0.42,0.58,5114293333
5,6/7/2023,PBS,samp,Neg1,VLP Events,283,0.08,0.92,129551111.1
5,6/7/2023,PBS,samp,Neg2,VLP Events,203,0.05,0.95,92928888.89
5,6/7/2023,PBS,samp,Neg3,VLP Events,186,0.07,0.93,85146666.67
5,6/7/2023,PBS,samp,Neg4,VLP Events,87,0.03,0.97,39826666.67
6,6/14/2023,EFF,samp,Neg1,VLP Events,45735,0.69,0.31,20936466667
6,6/14/2023,SEC,samp,Neg1,VLP Events,75427,0.94,0.06,34528804444
6,6/14/2023,INF,samp,Neg1,VLP Events,136750,0.97,0.03,62601111111
6,6/14/2023,EFF,samp,Neg2,VLP Events,52358,0.72,0.28,23968328889
6,6/14/2023,SEC,samp,Neg2,VLP Events,109326,0.96,0.04,50047013333
6,6/14/2023,INF,samp,Neg2,VLP Events,146195,0.97,0.03,66924822222
6,6/14/2023,EFF,samp,Neg3,VLP Events,55979,0.74,0.26,25625942222
6,6/14/2023,SEC,samp,Neg3,VLP Events,89628,0.96,0.04,41029706667
6,6/14/2023,INF,samp,Neg3,VLP Events,143509,0.97,0.03,65695231111
6,6/14/2023,EFF,samp,Neg4,VLP Events,59422,0.76,0.24,27202071111
6,6/14/2023,SEC,samp,Neg4,VLP Events,91124,0.96,0.04,41714542222
6,6/14/2023,INF,samp,Neg4,VLP Events,146434,0.97,0.03,67034231111
6,6/14/2023,PBS,samp,Neg1,VLP Events,2497,0.28,0.72,1143071111
6,6/14/2023,PBS,samp,Neg2,VLP Events,512,0.14,0.86,234382222.2
6,6/14/2023,PBS,samp,Neg3,VLP Events,432,0.13,0.87,197760000
6,6/14/2023,PBS,samp,Neg4,VLP Events,312,0.11,0.89,142826666.7
7,6/21/2023,SEC,samp,Neg1,VLP Events,38382,0.89,0.11,17570426667
7,6/21/2023,INF,samp,Neg1,VLP Events,43315,0.67,0.33,19828644444
7,6/21/2023,EFF,samp,Neg1,VLP Events,94708,0.96,0.04,43355217778
7,6/21/2023,EFF,samp,Neg2,VLP Events,N/A,N/A,N/A,N/A
7,6/21/2023,SEC,samp,Neg2,VLP Events,N/A,N/A,N/A,N/A
7,6/21/2023,INF,samp,Neg2,VLP Events,42492,0.67,0.33,19451893333
7,6/21/2023,INF,samp,Neg3,VLP Events,29491,0.61,0.39,13500324444
7,6/21/2023,SEC,samp,Neg3,VLP Events,40904,0.9,0.1,18724942222
7,6/21/2023,EFF,samp,Neg3,VLP Events,87691,0.96,0.04,40142991111
7,6/21/2023,SEC,samp,Neg4,VLP Events,10174,0.72,0.28,4657431111
7,6/21/2023,INF,samp,Neg4,VLP Events,14034,0.45,0.55,6424453333
7,6/21/2023,EFF,samp,Neg4,VLP Events,53601,0.94,0.06,24537346667
7,6/21/2023,PBS,samp,Neg1,VLP Events,514,0.12,0.88,235297777.8
7,6/21/2023,PBS,samp,Neg2,VLP Events,81,0.02,0.98,37080000
7,6/21/2023,PBS,samp,Neg3,VLP Events,262,0.08,0.92,119937777.8
7,6/21/2023,PBS,samp,Neg4,VLP Events,100,0.03,0.97,45777777.78
8,6/29/2023,INF,samp,Neg1,VLP Events,21612,0.69,0.31,9893493333
8,6/29/2023,SEC,samp,Neg1,VLP Events,30892,0.86,0.14,14141671111
8,6/29/2023,EFF,samp,Neg1,VLP Events,107524,0.96,0.04,49222097778
8,6/29/2023,INF,samp,Neg2,VLP Events,15721,0.64,0.36,7196724444
8,6/29/2023,SEC,samp,Neg2,VLP Events,80331,0.94,0.06,36773746667
8,6/29/2023,EFF,samp,Neg2,VLP Events,119718,0.97,0.03,54804240000
8,6/29/2023,INF,samp,Neg3,VLP Events,18655,0.7,0.3,8539844444
8,6/29/2023,SEC,samp,Neg3,VLP Events,111322,0.96,0.04,50960737778
8,6/29/2023,EFF,samp,Neg3,VLP Events,125873,0.97,0.03,57621862222
8,6/29/2023,INF,samp,Neg4,VLP Events,24663,0.75,0.25,11290173333
8,6/29/2023,SEC,samp,Neg4,VLP Events,108201,0.96,0.04,49532013333
8,6/29/2023,EFF,samp,Neg4,VLP Events,124462,0.97,0.03,56975937778
8,6/29/2023,PBS,samp,Neg1,VLP Events,1436,0.32,0.68,657368888.9
8,6/29/2023,PBS,samp,Neg2,VLP Events,1108,0.26,0.74,507217777.8
8,6/29/2023,PBS,samp,Neg3,VLP Events,874,0.24,0.76,400097777.8
8,6/29/2023,PBS,samp,Neg4,VLP Events,714,0.2,0.8,326853333.3
9,7/6/2023,SEC,samp,Neg1,VLP Events,10818,0.8,0.2,4952240000
9,7/6/2023,INF,samp,Neg1,VLP Events,13777,0.39,0.61,6306804444
9,7/6/2023,EFF,samp,Neg1,VLP Events,29498,0.93,0.07,13503528889
9,7/6/2023,PBS,samp,Neg1,VLP Events,192,0.08,0.92,87893333.33
10,7/13/2023,INF,sampG,Neg1,VLP Events,27308,0.69,0.31,12500995556
10,7/13/2023,SEC,sampG,Neg1,VLP Events,46319,0.93,0.07,21203808889
10,7/13/2023,EFF,sampG,Neg1,VLP Events,98033,0.97,0.03,44877328889
10,7/13/2023,INF,sampG,Neg2,VLP Events,25688,0.67,0.33,11759395556
10,7/13/2023,SEC,sampG,Neg2,VLP Events,46977,0.92,0.08,21505026667
10,7/13/2023,EFF,sampG,Neg2,VLP Events,97412,0.97,0.03,44593048889
10,7/13/2023,INF,sampG,Neg3,VLP Events,27607,0.69,0.31,12637871111
10,7/13/2023,SEC,sampG,Neg3,VLP Events,49411,0.94,0.06,22619257778
10,7/13/2023,EFF,sampG,Neg3,VLP Events,99596,0.97,0.03,45592835556
10,7/13/2023,INF,sampG,Neg4,VLP Events,27378,0.7,0.3,12533040000
10,7/13/2023,SEC,sampG,Neg4,VLP Events,52079,0.94,0.06,23840608889
10,7/13/2023,EFF,sampG,Neg4,VLP Events,91711,0.97,0.03,41983257778
10,7/13/2023,PBS,sampG,Neg1,VLP Events,1595,0.43,0.57,730155555.6
10,7/13/2023,PBS,sampG,Neg2,VLP Events,109,0.06,0.94,49897777.78
10,7/13/2023,PBS,sampG,Neg3,VLP Events,84,0.05,0.95,38453333.33
10,7/13/2023,PBS,sampG,Neg4,VLP Events,28,0.02,0.98,12817777.78
11,7/25/2023,INF,sampG,Neg1,VLP Events,33047,0.81,0.19,15128182222
11,7/25/2023,SEC,sampG,Neg1,VLP Events,39295,0.93,0.07,17988377778
11,7/25/2023,EFF,sampG,Neg1,VLP Events,87072,0.98,0.02,39859626667
11,7/25/2023,SEC,sampG,Neg2,VLP Events,34372,0.94,0.06,15734737778
11,7/25/2023,INF,sampG,Neg2,VLP Events,42017,0.83,0.17,19234448889
11,7/25/2023,EFF,sampG,Neg2,VLP Events,84982,0.99,0.01,38902871111
11,7/25/2023,SEC,sampG,Neg3,VLP Events,34119,0.94,0.06,15618920000
11,7/25/2023,INF,sampG,Neg3,VLP Events,44087,0.84,0.16,20182048889
11,7/25/2023,EFF,sampG,Neg3,VLP Events,78502,0.99,0.01,35936471111
11,7/25/2023,INF,sampG,Neg4,VLP Events,12538,0.67,0.33,5739617778
